Adjusted..in.million.USD.,Original..in.million.USD.,Painting,Image,Artist,Year,Date.of.sale,Rankat.sale,Seller,Buyer,Auction.house
~$102,~$75(€50–60)[note 23],Darmstadt Madonna,NA,Hans Holbein,1526,"July 12, 2011",NA,"Donatus, Landgrave of Hesse",Reinhold Würth,Private sale viaChristoph Graf Douglas[126]
$101.1,$81.3,Laboureur dans un champ,NA,Vincent van Gogh,1889,"November 13, 2017",NA,Nancy Lee and Perry R. Bass estate,,"Christie's, New York[127]"
$100.8,$84.55,Triptych Inspired by the Oresteia of Aeschylus,NA,Francis Bacon,1981,"June 30, 2020",NA,Hans Rasmus Astrup,,"Sotheby's, New York[128]"
$100.3,$70.6(£50),Diana and Actaeon,NA,Titian,1556–1559,"February 1, 2009",NA,Duke of Sutherland,"National Galleries of Scotland& National Gallery, London",Private sale[129][130][131]
$100,$40.7,Au Lapin Agile,NA,Pablo Picasso,1904,"November 27, 1989",5,"Linda de Roulet, daughter of Joan Whitney Payson",Walter H. Annenberg,"Sotheby's, New York"
$99.9,$68,The Gross Clinic,NA,Thomas Eakins,1875,"April 12, 2007",NA,Thomas Jefferson University,Philadelphia Museum of Art,Private sale[132]
$99.7,$75.1,No 1 (Royal Red and Blue),NA,Mark Rothko,1954,"November 13, 2012",NA,John and Anne Marion,,"Sotheby's, New York[133]"
$99.3,$38.5(£20.9),Acrobate et jeune arlequin[note 24],NA,Pablo Picasso,1905,"November 28, 1988",3,Roger Janssen heirs?[note 25],Mitsukoshi,"Christie's, London"
$98,$80.8,Odalisque couchée aux magnolias,NA,Henri Matisse,1923,"May 8, 2018",NA,David and Peggy Rockefeller,Xin Li-Cohen[124],"Christie's, New York[134]"
$97.3,$55.0,Femme aux Bras Croisés,NA,Pablo Picasso,1902,"November 8, 2000",NA,Chauncey McCormick heirs,,"Christie's, New York[135]"
$96.4,$69.0,Nude Sitting on a Divan,NA,Amedeo Modigliani,1917,"November 2, 2010",NA,Halit Cıngıllıoglu[136],,"Sotheby's, New York[137]"
$96,$63.5,Police Gazette[138],NA,Willem de Kooning,1955,"October 12, 2006",NA,David Geffen,Steven A. Cohen,Private sale via Richard Gray.[92]
$95.6,$85,Untitled,NA,Jean-Michel Basquiat,1982,"May 18, 2022",NA,Yusaku Maezawa,Taiwanese collector,"Philips, New York[139]"
$95.2,$71.7(£45),Diana and Callisto,NA,Titian,1556–1559,"March 2, 2012",NA,Duke of Sutherland,"National Galleries of Scotland& National Gallery, London",Private sale[140]
$92.8,$82.5,No. 7,NA,Mark Rothko,1951,"February 19, 2023",NA,Private Collection,Laurence Escalante,Private sale
$90.7,$70.5,Untitled (New York City),NA,Cy Twombly,1968,"November 11, 2015",NA,Sydney M. Irmas heirs,,"Christie's, New York[141]"
$90.7,$77(¥512.9),Ten Views Of Lingbi Rock [zh][142],NA,Wu Bin,1610,"October 20, 2020",NA,William Bernard Ziff Jr. heirs,,Beijing Poly Auction
$90.5,$49.5,Femme assise dans un jardin,NA,Pablo Picasso,1938,"November 10, 1999",NA,Robert Saidenberg [note 26][144],,"Sotheby's, New York"
$90.3,$70.2(£42.2),Portrait of George Dyer Talking,NA,Francis Bacon,1966,"February 13, 2014",NA,,,"Christie's, London[145][146]"
$90.2,$47.5,Peasant Woman Against a Background of Wheat,NA,Vincent van Gogh,1890,1997,11,,Steve Wynn[note 27],"Private sale viaAcquavella Galleries Inc.,New York[148]"
$89.6,$69.6,Untitled [de],NA,Cy Twombly,1970,"November 12, 2014",NA,Nicola del Roscio[113],,"Christie's, New York[149]"
$89.6,$69.6,Four Marlons,NA,Andy Warhol,1966,"November 12, 2014",NA,WestSpiel[113],,"Christie's, New York[150]"
$89.3,$79.45,The Empire of Lights,NA,René Magritte,1961,"February 3, 2022",NA,Anne-Marie Crowet Gillon heirs,,"Sotheby's, London[151]"
$88.7,$65.5(¥425.5),Eagle Standing on Pine Tree[152],NA,Qi Baishi,1946,"May 22, 2011",NA,Liu Yiqian,Hunan TV & BroadcastIntermediary Co[153],China Guardian Auctions
$88.5,$63.4,Men in Her Life,NA,Andy Warhol,1962,"November 8, 2010",NA,Jose Mugrabi,Sheikh Hamad bin Khalifa Al-Thani[154],Phillips de Pury & Company[155]
$87.1,$70.1,Contraste de formes,NA,Fernand Léger,1913,"November 13, 2017",NA,Anna-Maria [de] and Stephen Kellen [de] Foundation,,"Christie's, New York[156]"
$86.7,$67.45,La Gommeuse,NA,Pablo Picasso,1901,"November 5, 2015",NA,William I. Koch,,"Sotheby's, New York.[157][158]"
$86.6,$67.4,Buste de femme(Femme à la résille),NA,Pablo Picasso,1938,"May 11, 2015",NA,Steve Wynn,Joseph Lau[159],"Christie's, New York[32]"
$86.5,$35.2,Portrait of a Halberdier,NA,Pontormo,1537,"May 31, 1989",5,Chauncey Stillman,Getty Museum,"Christie's, New York"
$85.3,$66.3,L’Allée des Alyscamps,NA,Vincent van Gogh,1888,"May 5, 2015",NA,,,"Sotheby's, New York[160]"
$85.3,$66.2,Untitled,NA,Mark Rothko,1952,"May 13, 2014",NA,Private Collection,Anonymous,"Christie's, New York[107]"
$84.2,$66.3,Untitled XXV,NA,Willem de Kooning,1977,"November 15, 2016",NA,,,"Christie's, New York[161]"
$84.2,$62.1(¥402.5),Zhichuan Resettlement[162],NA,Wang Meng,1350,"June 4, 2011",NA,,,Beijing Poly Auction
$84,$69.2,Femme au béret et à la robe quadrillée (Marie-Thérèse Walter),NA,Pablo Picasso,1937,"February 28, 2018",NA,Private collection,Harry Smith,"Sotheby's, London[163][164]"
$83.8,$65.1,Spring,NA,Édouard Manet,1881,"November 5, 2014",NA,Oliver Hazard Payne heirs[165],Getty Museum,"Christie's, New York[166]"
$83.6,$68.9,Woman as Landscape,NA,Willem de Kooning,1955,"November 13, 2018",NA,Barney A. Ebsworth estate,,"Christie's, New York[104]"
$83.5,$61.7,1949-A-No. 1 [de],NA,Clyfford Still,1949,"November 9, 2011",NA,City and County of Denver,,"Sotheby's, New York[167]"
$80.2,$71.4,Cabanes de bois parmi les oliviers et cyprès,NA,Vincent van Gogh,1889,"November 11, 2021",NA,Edwin L. Cox,,"Christie's, New York[168]"
$79.1,$70.35,Le Bassin Aux Nymphéas (1917-19),NA,Claude Monet,1917-19,"May 12, 2021",NA,"Private Collection, New York, United States",,"Sotheby's, New York[169]"
$79.1,$65.23   (HK$510.371),Juin-Octobre 1985,NA,Zao Wou-Ki,1985,"September 30, 2018",NA,Chang Qiu Dun[170],,"Sotheby's, Hong Kong[171]"
